rowid,permanent_identifier,comid,resolution,gnis_id,gnis_name,area_sq_km,reachcode,ftype,fcode,vpuid,data_group,dist_m,location_type,Station,Description,Channel,Slope,notes,dist_to_shore,Latitude,Longitude
385,128075235,23001900244310,2,00197770,Panhandle Reservoir,0.2,10190007002222,390,39004,1019,CLP,160.72009934411338,poi_center,NA,NA,NA,NA,NA,NA,40.85224313217696,-105.64869781611992
386,128076412,23001900248331,2,00180537,Roulard Lake,0.064,10190007002531,390,39009,1019,CLP,70.93353505029107,poi_center,NA,NA,NA,NA,NA,NA,40.52977247547229,-104.82467963149008
387,128076163,23001900238786,2,NA,NA,0.049,10190007002454,390,39004,1019,CLP,99.00793782452969,poi_center,NA,NA,NA,NA,NA,NA,40.583318165696305,-104.97162124419711
388,128076617,23001900242113,2,NA,NA,0.039,10190007002611,390,39004,1019,CLP,69.20306776692374,poi_center,NA,NA,NA,NA,NA,NA,40.42010058861406,-104.64575629190422
389,128075276,23001900237928,2,NA,NA,0.013000000000000001,10190007002228,390,39001,1019,CLP,33.6283961904712,poi_center,NA,NA,NA,NA,NA,NA,40.86034282865985,-105.24256126557601
390,128075746,23001900242525,2,NA,NA,0.032,10190007002336,390,39004,1019,CLP,49.437144932360525,poi_center,NA,NA,NA,NA,NA,NA,40.69102905271957,-104.97968870509209
391,128075669,23001900241683,2,NA,NA,0.01,10190007002321,390,39009,1019,CLP,33.78349850920008,poi_center,NA,NA,NA,NA,NA,NA,40.65315491780466,-105.79065286540624
392,128076379,23001900240922,2,NA,NA,0.022000000000000002,10190007002520,390,39004,1019,CLP,54.34087595250148,poi_center,NA,NA,NA,NA,NA,NA,40.47736931061497,-105.69268965147026
393,128076162,23001900242103,2,NA,NA,0.033,10190007014319,390,39004,1019,CLP,78.67218026041412,poi_center,NA,NA,NA,NA,NA,NA,40.57899172383143,-105.04961012512582
394,128076265,23001900242106,2,NA,NA,0.043000000000000003,10190007002482,390,39004,1019,CLP,37.83521260381993,poi_center,NA,NA,NA,NA,NA,NA,40.55569765094717,-105.02247524056949
395,128076289,23001900242107,2,NA,NA,0.026000000000000002,10190007014414,390,39004,1019,CLP,47.152028696695304,poi_center,NA,NA,NA,NA,NA,NA,40.55206291661857,-105.00854058054183
396,128076478,23001900242111,2,NA,NA,0.041,10190007002560,390,39004,1019,CLP,80.32243850107456,poi_center,NA,NA,NA,NA,NA,NA,40.508051435400226,-104.8328439309945
397,128074916,23001900242512,2,NA,NA,0.015000000000000001,10190007013337,390,39004,1019,CLP,60.67661737331577,poi_center,NA,NA,NA,NA,NA,NA,41.044117566849756,-105.2966045771744
